Title,ASIN,Price (INR),Price Strikethrough (INR),Rating,Reviews Count,Sales Volume,Is Sponsored,Is Prime,Is Amazon's Choice,URL,Image URL
"Bombay Shaving Company Beard Trimmer For Men, 2X Fast Charging, USB Type C, 2 Yr Warranty, 120Min runtime, Hair Trimmer, Shaving Machine, Cordless Beard, 38 length Settings(Black)",B098P8NRRW,827.0,1199.0,4.0,9606,6K+ bought in past month,False,True,False,https://www.amazon.in/Cordless-Trimmer-settings-Charging-Warranty/dp/B098P8NRRW/ref=sr_1_1?dib=eyJ2IjoiMSJ9.MFMfWY3-YBBoBuGZ4z3Ltzf2C5GwyjKBvkY406_f_98uSd24badsphcIVQCjxDLhKf7xYGlsBoAbxCyBjjrgaeJN11MEn3RzTaS7Sb0-UACTIRsM7Ecxe0rify3ZFvMZbnTnMCfHcqJtDrveQTI9ZLDRSr3fK6u15v1cHhAgt0Q6RHIvYBHouNFu5FQx3kAS-xjXGanvFgINiRf8mJ4qFOcEGco-nC6V7wWvhUTsq-J_TkJCAFhbkHRzI3XI_E0Z9-YWT-K3uJCo57c68HsAR0-OcYUc39qW9o6jkCiegAQ.F1iCKvo2NeGkjqadcFFV2Oew3wTnxuuo-f0rhcF3EWs&dib_tag=se&keywords=Bombay+Shaving+Company&qid=1744651992&sr=8-1,https://m.media-amazon.com/images/I/71cAYYJDZzL._AC_UL320_.jpg
"Bombay Shaving Company 11 in1 Multi Grooming Kit | All in One Full Body Trimmer for Men | 120 Min Charge time, 90 Min Runtime, Charging Indicator | IPX6 Water Proof | Nose, Ear, Beard, Body, Hair Trimmer Men",B0CHSCR7B7,2859.0,4449.0,4.0,756,1K+ bought in past month,False,True,False,https://www.amazon.in/Bombay-Shaving-Company-Indicator-Valentines/dp/B0CHSCR7B7/ref=sr_1_2?dib=eyJ2IjoiMSJ9.MFMfWY3-YBBoBuGZ4z3Ltzf2C5GwyjKBvkY406_f_98uSd24badsphcIVQCjxDLhKf7xYGlsBoAbxCyBjjrgaeJN11MEn3RzTaS7Sb0-UACTIRsM7Ecxe0rify3ZFvMZbnTnMCfHcqJtDrveQTI9ZLDRSr3fK6u15v1cHhAgt0Q6RHIvYBHouNFu5FQx3kAS-xjXGanvFgINiRf8mJ4qFOcEGco-nC6V7wWvhUTsq-J_TkJCAFhbkHRzI3XI_E0Z9-YWT-K3uJCo57c68HsAR0-OcYUc39qW9o6jkCiegAQ.F1iCKvo2NeGkjqadcFFV2Oew3wTnxuuo-f0rhcF3EWs&dib_tag=se&keywords=Bombay+Shaving+Company&qid=1744651992&sr=8-2,https://m.media-amazon.com/images/I/71xnu2fLQFL._AC_UL320_.jpg
"Bombay Shaving Company Power Play NXT Trimmer, 9 Weeks of trimming, 90 mins run time with Type C, 6 comb attachments, Self-sharpening blades | Trimmer for Men || Green",B0DR8JM1K7,599.0,1000.0,4.2,188,5K+ bought in past month,False,True,False,https://www.amazon.in/Bombay-Shaving-Company-attachments-Self-sharpening/dp/B0DR8JM1K7/ref=sr_1_3?dib=eyJ2IjoiMSJ9.MFMfWY3-YBBoBuGZ4z3Ltzf2C5GwyjKBvkY406_f_98uSd24badsphcIVQCjxDLhKf7xYGlsBoAbxCyBjjrgaeJN11MEn3RzTaS7Sb0-UACTIRsM7Ecxe0rify3ZFvMZbnTnMCfHcqJtDrveQTI9ZLDRSr3fK6u15v1cHhAgt0Q6RHIvYBHouNFu5FQx3kAS-xjXGanvFgINiRf8mJ4qFOcEGco-nC6V7wWvhUTsq-J_TkJCAFhbkHRzI3XI_E0Z9-YWT-K3uJCo57c68HsAR0-OcYUc39qW9o6jkCiegAQ.F1iCKvo2NeGkjqadcFFV2Oew3wTnxuuo-f0rhcF3EWs&dib_tag=se&keywords=Bombay+Shaving+Company&qid=1744651992&sr=8-3,https://m.media-amazon.com/images/I/7102lxnalrL._AC_UL320_.jpg
"Bombay Shaving Company 11 in 1 Trimmer Men | All in One Full Body Trimmer for Men | 90 Min Charge time | 90 mins run time | Hair, Ear, Beard, Body, Nose Trimmer for Men | Type C charging | Power Groomer (New Model)",B0D96CPM1B,1199.0,2000.0,4.0,326,1K+ bought in past month,False,True,False,https://www.amazon.in/Bombay-Shaving-Company-Trimmer-charging/dp/B0D96CPM1B/ref=sr_1_4?dib=eyJ2IjoiMSJ9.MFMfWY3-YBBoBuGZ4z3Ltzf2C5GwyjKBvkY406_f_98uSd24badsphcIVQCjxDLhKf7xYGlsBoAbxCyBjjrgaeJN11MEn3RzTaS7Sb0-UACTIRsM7Ecxe0rify3ZFvMZbnTnMCfHcqJtDrveQTI9ZLDRSr3fK6u15v1cHhAgt0Q6RHIvYBHouNFu5FQx3kAS-xjXGanvFgINiRf8mJ4qFOcEGco-nC6V7wWvhUTsq-J_TkJCAFhbkHRzI3XI_E0Z9-YWT-K3uJCo57c68HsAR0-OcYUc39qW9o6jkCiegAQ.F1iCKvo2NeGkjqadcFFV2Oew3wTnxuuo-f0rhcF3EWs&dib_tag=se&keywords=Bombay+Shaving+Company&qid=1744651992&sr=8-4,https://m.media-amazon.com/images/I/618ZwLVw3iL._AC_UL320_.jpg
"Bombay Shaving Company Power Play NXT Trimmer, 9 Weeks of trimming, 90 mins run time with Type C, 6 comb attachments, Self sharpening blades | Trimmer for Men",B0D2HFN2N1,685.0,1000.0,4.1,1596,3K+ bought in past month,False,True,False,https://www.amazon.in/Bombay-Shaving-Company-attachments-sharpening/dp/B0D2HFN2N1/ref=sr_1_5?dib=eyJ2IjoiMSJ9.MFMfWY3-YBBoBuGZ4z3Ltzf2C5GwyjKBvkY406_f_98uSd24badsphcIVQCjxDLhKf7xYGlsBoAbxCyBjjrgaeJN11MEn3RzTaS7Sb0-UACTIRsM7Ecxe0rify3ZFvMZbnTnMCfHcqJtDrveQTI9ZLDRSr3fK6u15v1cHhAgt0Q6RHIvYBHouNFu5FQx3kAS-xjXGanvFgINiRf8mJ4qFOcEGco-nC6V7wWvhUTsq-J_TkJCAFhbkHRzI3XI_E0Z9-YWT-K3uJCo57c68HsAR0-OcYUc39qW9o6jkCiegAQ.F1iCKvo2NeGkjqadcFFV2Oew3wTnxuuo-f0rhcF3EWs&dib_tag=se&keywords=Bombay+Shaving+Company&qid=1744651992&sr=8-5,https://m.media-amazon.com/images/I/71KuZWcRLcL._AC_UL320_.jpg
Bombay Shaving Company Charcoal Face Wash for Men | Anti Pollution and Brightening | Oil Control Face Wash For Men - 2 x 100g,B082L4WBMD,225.0,458.0,4.1,1340,400+ bought in past month,False,False,False,https://www.amazon.in/Bombay-Shaving-Company-Charcoal-Pollution/dp/B082L4WBMD/ref=sr_1_6_f3_0o_fs_mod_primary_alm?dib=eyJ2IjoiMSJ9.MFMfWY3-YBBoBuGZ4z3Ltzf2C5GwyjKBvkY406_f_98uSd24badsphcIVQCjxDLhKf7xYGlsBoAbxCyBjjrgaeJN11MEn3RzTaS7Sb0-UACTIRsM7Ecxe0rify3ZFvMZbnTnMCfHcqJtDrveQTI9ZLDRSr3fK6u15v1cHhAgt0Q6RHIvYBHouNFu5FQx3kAS-xjXGanvFgINiRf8mJ4qFOcEGco-nC6V7wWvhUTsq-J_TkJCAFhbkHRzI3XI_E0Z9-YWT-K3uJCo57c68HsAR0-OcYUc39qW9o6jkCiegAQ.F1iCKvo2NeGkjqadcFFV2Oew3wTnxuuo-f0rhcF3EWs&dib_tag=se&keywords=Bombay+Shaving+Company&qid=1744651992&sbo=m6DjfpMzMLDmL8pSMKX8hw==&sr=8-6,https://m.media-amazon.com/images/I/71niNu+JYlL._AC_UL320_.jpg
"Bombay Shaving Company Body Spray for Men, 150ml each (Pack of 2) - Red Spice and Black Vibe (Packaging may vary)",B09RMZGTJG,248.0,710.0,3.8,2570,100+ bought in past month,False,False,False,https://www.amazon.in/Bombay-Shaving-Company-Spray-150ml/dp/B09RMZGTJG/ref=sr_1_7?dib=eyJ2IjoiMSJ9.MFMfWY3-YBBoBuGZ4z3Ltzf2C5GwyjKBvkY406_f_98uSd24badsphcIVQCjxDLhKf7xYGlsBoAbxCyBjjrgaeJN11MEn3RzTaS7Sb0-UACTIRsM7Ecxe0rify3ZFvMZbnTnMCfHcqJtDrveQTI9ZLDRSr3fK6u15v1cHhAgt0Q6RHIvYBHouNFu5FQx3kAS-xjXGanvFgINiRf8mJ4qFOcEGco-nC6V7wWvhUTsq-J_TkJCAFhbkHRzI3XI_E0Z9-YWT-K3uJCo57c68HsAR0-OcYUc39qW9o6jkCiegAQ.F1iCKvo2NeGkjqadcFFV2Oew3wTnxuuo-f0rhcF3EWs&dib_tag=se&keywords=Bombay+Shaving+Company&qid=1744651992&sr=8-7,https://m.media-amazon.com/images/I/71vkBFt7xJL._AC_UL320_.jpg
Bombay Shaving Company Sensi Smart 3 Value Pack (Handle + 3 Blades Cartridge) | Shaving Razor for Men | Aloe Gel and Argan Oil Lubra Strip with Pivot Head,B0CQCYY1NJ,199.0,298.0,3.8,1082,2K+ bought in past month,False,False,False,https://www.amazon.in/Bombay-Shaving-Company-Handle-Cartridges/dp/B0CQCYY1NJ/ref=sr_1_8?dib=eyJ2IjoiMSJ9.MFMfWY3-YBBoBuGZ4z3Ltzf2C5GwyjKBvkY406_f_98uSd24badsphcIVQCjxDLhKf7xYGlsBoAbxCyBjjrgaeJN11MEn3RzTaS7Sb0-UACTIRsM7Ecxe0rify3ZFvMZbnTnMCfHcqJtDrveQTI9ZLDRSr3fK6u15v1cHhAgt0Q6RHIvYBHouNFu5FQx3kAS-xjXGanvFgINiRf8mJ4qFOcEGco-nC6V7wWvhUTsq-J_TkJCAFhbkHRzI3XI_E0Z9-YWT-K3uJCo57c68HsAR0-OcYUc39qW9o6jkCiegAQ.F1iCKvo2NeGkjqadcFFV2Oew3wTnxuuo-f0rhcF3EWs&dib_tag=se&keywords=Bombay+Shaving+Company&qid=1744651992&sr=8-8,https://m.media-amazon.com/images/I/71IBDNq+MPL._AC_UL320_.jpg
"Bombay Shaving Company Charcoal Shaving Foam for Men, 425g (43% Extra) | More than 100 shaves | Activated Charcoal and Moroccan Argan Oil || Prime Exclusive Foam",B0BGLGP83C,225.0,275.0,4.1,2215,1K+ bought in past month,False,False,False,https://www.amazon.in/Bombay-Shaving-Charcoal-Activated-Moroccan/dp/B0BGLGP83C/ref=sr_1_9?dib=eyJ2IjoiMSJ9.MFMfWY3-YBBoBuGZ4z3Ltzf2C5GwyjKBvkY406_f_98uSd24badsphcIVQCjxDLhKf7xYGlsBoAbxCyBjjrgaeJN11MEn3RzTaS7Sb0-UACTIRsM7Ecxe0rify3ZFvMZbnTnMCfHcqJtDrveQTI9ZLDRSr3fK6u15v1cHhAgt0Q6RHIvYBHouNFu5FQx3kAS-xjXGanvFgINiRf8mJ4qFOcEGco-nC6V7wWvhUTsq-J_TkJCAFhbkHRzI3XI_E0Z9-YWT-K3uJCo57c68HsAR0-OcYUc39qW9o6jkCiegAQ.F1iCKvo2NeGkjqadcFFV2Oew3wTnxuuo-f0rhcF3EWs&dib_tag=se&keywords=Bombay+Shaving+Company&qid=1744651992&sr=8-9,https://m.media-amazon.com/images/I/61fLIgzY8nL._AC_UL320_.jpg
"Bombay Shaving Company Premium Shaving Kit For Men | Charcoal Face Scrub, Charcoal Shaving Cream, Post Shave Balm, Neem & Charcoal Bath Soap, Face Towel | Travel Bag | Shaving Kit | Travel Kit For Men",B08LR6TF53,499.0,942.0,4.3,3351,400+ bought in past month,False,True,False,https://www.amazon.in/Bombay-Shaving-Company-Premium-Charcoal/dp/B08LR6TF53/ref=sr_1_10?dib=eyJ2IjoiMSJ9.MFMfWY3-YBBoBuGZ4z3Ltzf2C5GwyjKBvkY406_f_98uSd24badsphcIVQCjxDLhKf7xYGlsBoAbxCyBjjrgaeJN11MEn3RzTaS7Sb0-UACTIRsM7Ecxe0rify3ZFvMZbnTnMCfHcqJtDrveQTI9ZLDRSr3fK6u15v1cHhAgt0Q6RHIvYBHouNFu5FQx3kAS-xjXGanvFgINiRf8mJ4qFOcEGco-nC6V7wWvhUTsq-J_TkJCAFhbkHRzI3XI_E0Z9-YWT-K3uJCo57c68HsAR0-OcYUc39qW9o6jkCiegAQ.F1iCKvo2NeGkjqadcFFV2Oew3wTnxuuo-f0rhcF3EWs&dib_tag=se&keywords=Bombay+Shaving+Company&qid=1744651992&sr=8-10,https://m.media-amazon.com/images/I/7109Uk2qrSL._AC_UL320_.jpg
