ID,Username,ProfileURL,Rate,RateText,Format,Title,Content,Helpful,Date,Thumbnails,Images,Video,Verified,ReviewURL
R1GI7MMPPTM36R,Manoj Rastogi,https://www.amazon.in/gp/profile/amzn1.account.AGHSA7NSPT3BXJ6SUJGE5YZMQVLA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,1,1.0 out of 5 stars,Pattern Name: After Shave Lotion,Not good,Bad quality,,Reviewed in India on 25 March 2025,,,,Verified Purchase,https://www.amazon.in/gp/customer-reviews/R1GI7MMPPTM36R/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09XZ7GZYP
R7G9L6HLVRAY6,Akshay Saxena,https://www.amazon.in/gp/profile/amzn1.account.AFAAHYUEWYLCG6PAXCVAVL5EQA6A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,4,4.0 out of 5 stars,Pattern Name: After Shave Lotion,Love the fragrance,Love the fragrance and spray option,,Reviewed in India on 22 March 2025,,,,Verified Purchase,https://www.amazon.in/gp/customer-reviews/R7G9L6HLVRAY6/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09XZ7GZYP
R29Z29VV44H717,ANIKET GAWALIANIKET GAWALI,https://www.amazon.in/gp/profile/amzn1.account.AF3LPZOV3ZKALPUIYX4FZYVD6HDA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,1,1.0 out of 5 stars,Pattern Name: After Shave Lotion,It's an alcoholic After shave... misleading listing done,It's an alcohol based after shave lotion which is not mentioned anywhere on the product or description.I was looking for non alcoholic product as I am allergic to alcoholic after shaveThis is misleading ad and listing done on Amazon.Now I know company will say we neither mention it's non Alcoholic product but you should have mentioned in the description for clarity,,Reviewed in India on 18 March 2025,https://m.media-amazon.com/images/I/71vWkwaR0IL._SY88.jpg,https://m.media-amazon.com/images/I/71vWkwaR0IL.jpg,,Verified Purchase,https://www.amazon.in/gp/customer-reviews/R29Z29VV44H717/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09XZ7GZYP
RIDXB2B7TLV4J,Pankaj Singhal,https://www.amazon.in/gp/profile/amzn1.account.AE46CK3YKU7XRPDF3SLQDHLEA4OA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,3,3.0 out of 5 stars,Pattern Name: After Shave Lotion,Average,Overall OK but giving a different smell of alcohol in it,,Reviewed in India on 13 March 2025,,,,Verified Purchase,https://www.amazon.in/gp/customer-reviews/RIDXB2B7TLV4J/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09XZ7GZYP
R5FGYU5SMVLBY,Dharmaraj Balagopalan,https://www.amazon.in/gp/profile/amzn1.account.AFXIASUDNCEH2IDEGJSM3FSPVO7A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,4,4.0 out of 5 stars,Pattern Name: After Shave Lotion,Good,Good fragrance of Sandal but not long lasting.,,Reviewed in India on 28 February 2025,,,,Verified Purchase,https://www.amazon.in/gp/customer-reviews/R5FGYU5SMVLBY/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09XZ7GZYP
R1DQ0BCEW5YU7W,RITESH ADIVAREKAR,https://www.amazon.in/gp/profile/amzn1.account.AHR5KIXUWOWBUNQZH4D4JDI6ZMPQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,1,1.0 out of 5 stars,Pattern Name: After Shave Lotion,Smell,Not good smell like alcohol only. No fragrance or nothing. I’ll pay only for pure alcohol..Don’t buy,,Reviewed in India on 25 February 2025,,,,Verified Purchase,https://www.amazon.in/gp/customer-reviews/R1DQ0BCEW5YU7W/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09XZ7GZYP
R1QH0HSFVWQJWT,IMM - Your Branding PartnerIMM - Your Branding Partner,https://www.amazon.in/gp/profile/amzn1.account.AEUSO3NMD7QFEM7MZU5T7YY3CA7Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,1,1.0 out of 5 stars,Pattern Name: After Shave Lotion,Poor smell/fragrance!,Pls return and refund.,,Reviewed in India on 19 February 2025,https://m.media-amazon.com/images/I/51XEsumfgbL._SY88.jpg,https://m.media-amazon.com/images/I/51XEsumfgbL.jpg,,Verified Purchase,https://www.amazon.in/gp/customer-reviews/R1QH0HSFVWQJWT/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09XZ7GZYP
R3BRUBXM51VBKJ,RAJ KUMAR,https://www.amazon.in/gp/profile/amzn1.account.AGSF6GVWNPEPM4YWWNW3HZC54ZCQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,4,4.0 out of 5 stars,Pattern Name: After Shave Lotion,must try,good,,Reviewed in India on 23 December 2024,,,,Verified Purchase,https://www.amazon.in/gp/customer-reviews/R3BRUBXM51VBKJ/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09XZ7GZYP
R20VM9A4MSHB5A,Amazon Customer,https://www.amazon.in/gp/profile/amzn1.account.AFAWSS4EXWTL6FCSCSB24SF76ITA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2,2.0 out of 5 stars,Pattern Name: After Shave Lotion,Spray aftershave,Sprays are not useful as aftershave lotion. Bought by mistake and stuck. Useless product.,,Reviewed in India on 20 December 2024,,,,Verified Purchase,https://www.amazon.in/gp/customer-reviews/R20VM9A4MSHB5A/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09XZ7GZYP
R3SHK4L5JAKMCZ,TUFAN MALLIK,https://www.amazon.in/gp/profile/amzn1.account.AFSZ552S3VSN7EBROF2JA36VAVRQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,4,4.0 out of 5 stars,Pattern Name: After Shave Lotion,Go For it,Good product,,Reviewed in India on 9 December 2024,,,,Verified Purchase,https://www.amazon.in/gp/customer-reviews/R3SHK4L5JAKMCZ/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09XZ7GZYP
