Title,Current Price (INR),Original Price (INR),Discount (%),Rating,Reviews,Monthly Sales,Flags
"MENHOOD Men's WaterProof Cordless Grooming Trimmer for Men, Suitable for Beard, Body Private Part Shaving, Head and Pubic Hair, 150min Run Time (Black)",3199,7999,60,4.2,6400,600+ bought in past month,Sponsored
"Beardo Ape-X Prime 3-in-1 Multipurpose Trimmer for Men | Grooming Kit : Beard Trimmer, Precision Trimmer, Ear & Nose Trimmer | Stainless Steel self-sharpening blades | Type C charging",944,1499,37,3.9,1512,3K+ bought in past month,Prime
Beardo I Blade Trimmer for men | No Nicks and Cuts | Electric Shaver with powerful motor | Perfect for different beard styles for Gen Z | Multiple Length Settings,899,1499,40,3.9,2420,1K+ bought in past month,Prime
"Beardo Ape-X 3-in-1 Multipurpose Trimmer for Men | Grooming Kit :- Trimmer, Shaver, Ear & Nose Trimmer | Stainless Steel self-sharpening blades | USB charge | Gift For Brother | Gift For Friends",799,1499,47,3.9,3322,1K+ bought in past month,Prime
Beardo Chrome Beast Multipurpose Full Body Groomer Trimmer Set For Men | 40 Length Settings | 8 attachments | Beard/Hair/Body/Precision/Ear/Nose Trimmer|With Dock|90 min. run time | All-in-1 trimmer | Gift For Brother | Gift For Friends,1649,2499,34,3.9,553,2K+ bought in past month,Prime
"Beardo Apex Go Trimmer for Men - 80-Min Run Time - Powerful 5500 RPM motor - Compact Travel-Friendly Design - Self-Sharpening Blades, 3 Comb Attachments, Type-C Charging, Digital Display | Gift For Brother & Friends",899,1199,25,4.2,321,900+ bought in past month,"Prime, Amazon's Choice"
Beardo Ape-X EZ Trimmer for Men Beard | 120 Min Run Time | 7000 RPM Motor | Lithium Ion Battery | Multiple Length Settings | Durable Blades | Beard Trimmer for Gen Z,679,995,32,4.6,158,2K+ bought in past month,Prime
"Beardo Ball Safe Trimmer for Men | Fast charging trimmer men for private parts, beard, body | IPX7 Waterproof Trimmer with Safe Flexible Blades | Body Grooming Kit - No Nicks or Cuts, Powerful Motor, Type C, Fast Charging, 110-Min Runtime",1499,2199,32,3.7,464,700+ bought in past month,Prime
Beardo Don Trimmer for Men | 150 min Run Time | 20 Length Settings | Cordless | Washable Stainless Steel Blades | Powerful Li+ battery for quick charging | Stylish Gun Metal finish | Gift For Brother | Gift For Friends,949,2199,57,3.8,810,400+ bought in past month,Prime
"Beardo incrediBALL Trimmer for Men | Ball Trimmer for Men with Skin Safe Tech | No Nicks with Ceramic Blades | Shower friendly IPX5 Water resistant | LED display, LED torch, Dock | Use as per directions | Intimate grooming tool for private parts | Body groomer | Gift For Brother | Gift For Friends",1394,4499,69,3.6,1103,600+ bought in past month,Prime
"Bombay Shaving Company Beard Trimmer For Men, 2X Fast Charging, USB Type C, 2 Yr Warranty, 120Min runtime, Hair Trimmer, Shaving Machine, Cordless Beard, 38 length Settings(Black)",849,1199,29,4,9610,6K+ bought in past month,Prime
"Philips Battery Powered SkinProtect Beard Trimmer for Men - Lasts 4x Longer, DuraPower Technology, Cordless Rechargeable with USB Charging, Charging Indicator, Travel Lock, No Oil Needed BT1232/18",899,995,10,4,82968,10K+ bought in past month,Prime
"Bombay Shaving Company Power Play NXT Trimmer, 9 Weeks of trimming, 90 mins run time with Type C, 6 comb attachments, Self-sharpening blades | Trimmer for Men || Green",599,1000,40,4.2,193,5K+ bought in past month,Prime
"Philips India's No.1 Men's Trimmer | Self Sharpening Blades | Single Stroke Grooming I 9 in1 Face, Nose and Body I 2+1* year warranty | Powerful motor | No Oil Needed I 60 min runtime I MG3710/65",1769,1995,11,4.2,24610,10K+ bought in past month,Prime
"Bombay Shaving Company Power Play NXT Trimmer, 9 Weeks of trimming, 90 mins run time with Type C, 6 comb attachments, Self sharpening blades | Trimmer for Men",685,1000,31,4.1,1599,3K+ bought in past month,Prime
"MI Xiaomi Beard Trimmer 2C With High Precision Trimming | 2 Beard Comb | USB Type-C | Fast Charging | 0.5mm Precision | 40 Length Settings | 90 Min Run Time, Black",1199,1999,40,4.2,92638,6K+ bought in past month,Prime
"Morphy Richards Kingsman Pro 12-In-1 Grooming Kit For Men| Rechargeable All In One Men Trimmer|5 Face Nose Ear Hair Blades| Nose&Ear Trimmers| Private Part Shaving Body GroomersI2-Yr Warranty,Black",1581,2995,47,4.1,4480,3K+ bought in past month,Prime
"Bombay Shaving Company 11 in 1 Trimmer Men | All in One Full Body Trimmer for Men | 90 Min Charge time | 90 mins run time | Hair, Ear, Beard, Body, Nose Trimmer for Men | Type C charging | Power Groomer (New Model)",1199,2000,40,4,331,1K+ bought in past month,Prime
"Havells Bt5100C Rechargeable Beard Trimmer with Hypoallergenic Blades; Zero Trim with 0.5 Mm Precision;Upto 17Mm Length Setting for All Styles; 45 Min Runtime,Battery Powered Black & (Grey)-Men",649,1295,50,3.8,6984,3K+ bought in past month,Prime
"MI Xiaomi Grooming Kit,(Trimmer Kit) All-In-One Professional Styling trimmer, Body Groomer, Nose & Ear Hair Trimming blade, Beard Comb,40 Length Settings,0.5mm Precision,Type-C & 90 min Run Time,Black",1748,3299,47,4.2,63040,3K+ bought in past month,Prime
"Beardo Beard Styling Tool for Men | Pack of 3 | Beard Styling Razor for Men | Reusable Razor | Sharp, Safe & Precise Shaping Razor for Men | Face Razor for Men | Body Grooming",350,,,0,0,300+ bought in past month,Prime
"Zlade Ballistic LITE PLUS Full Body Trimmer for Men | Beard, Body, Balls, Pubic Hair, Private Parts, Manscaping | IPX5 Waterproof, No Nicks or Cuts | 1-Hour Non-Stop Runtime | 5-Min USB-C Quick Charge",1499,2399,38,4,6299,3K+ bought in past month,Prime
Philips Pro Beard Trimmer for Men| 2.5X Higher Precision| Beard Sense Tech| Battery Indicator | 5 Mins Quick Charge| 20 Length Settings| 6X Longer Battery Life| New Model - BT3431/30,1364,2099,35,4.3,15955,2K+ bought in past month,Prime
"Philips India's No.1 Men's Trimmer| Patented Twin Trim BladesIPrecision Trimming,13-In-1 Modern Man Kit -Face,Body&Private PartsI3 Year Warranty I120Min RuntimeI5 Min Quick Charge MG7920/65,Gray",3479,4695,26,4.3,11005,6K+ bought in past month,Prime
"Philips OneBlade Gen Z Beard Trimmer & Styler|Ideal for 1st Trim or Thin Beard | Designed for Skin Comfort, No Nicks & Cuts | Dual Protect Tech | Acne Prone, Sensitive Skin or Patchy Beard | 2 Year Warranty | QP1424/10",1147,1549,26,3.8,5206,2K+ bought in past month,Prime
"Trimmer for Men Beard, Mustache, Head, Body Grooming Professional Hair Clipper Rechargeable Hair Trimmer, Close Cut Precise Hair Machine, Body Trimmer, Gold",499,1499,67,4.4,41,400+ bought in past month,Prime
"BEARDO 1100 Watts Styling Gun Ultra Compact Hair Dryer & Don Trimmer for Men, Black",1848,3598,49,0,0,,Prime
"Bombay Shaving Company 11 in1 Multi Grooming Kit | All in One Full Body Trimmer for Men | 120 Min Charge time, 90 Min Runtime, Charging Indicator | IPX6 Water Proof | Nose, Ear, Beard, Body, Hair Trimmer Men",2859,4449,36,4,756,1K+ bought in past month,Prime
"Beardo I Blade Trimmer for men | No Nicks and Cuts | Electric Shaver with powerful motor | Perfect,Beardo I Blade Replaceable Blade (Pack of 2) | Dual sided edges | Perfect Multipurpose Trimmer for",1498,2298,35,0,0,,Prime
Philips Body Trimmer for Men-Clinically Tested for Sensitive Skin I Patented Pearl Tip & Hypo allergenic foilI Skin Safe Grooming I Trim or Shave Basis Your StyleI Showerproof I 2+1 Year Warranty - BG3007/01,1889,2699,30,3.8,391,1K+ bought in past month,Prime
"Vega Trimmer for Men with 90 Mins Runtime, Stainless Steel Blades & 40 Length Settings, 2 Comb Attachment, Cord and Cordless Use, Black, (Power Lite, VHTH-38)",749,1149,35,3.9,3255,1K+ bought in past month,Prime
Philips Skin Friendly Beard Trimmer for Men| 10 Length Settings| 15mins Quick Charge| Self Sharpening Blades | Cordless & Rechargeable| New Model - BT3303/30,1228,1599,23,4.2,68937,3K+ bought in past month,Prime
